Playlist_id,Video_id,Video_name,Video_description,Video_Published_at,Video_view_count,Video_like_count,Video_favorite_count,Video_comment_count,Video_duration,Video_thumbnail,Video_caption_status
UUASGyre6VNuPsF5f9f9nm8g,NoxxY2UX9Hg,I Fell For The Girl I Arrested  | @LoveBuster_,"Is being “soft” a good or a bad trait?

During his patrol, Joshua noticed a girl sleeping in her car. He approached her and informed her that she couldn’t stay in the parking lot for so long or nap in her vehicle. But as Joshua looked closely, he realized that she was actually living in the auto. He was about to just let her go. Yet, his nasty colleague stepped in and began to inappropriately pat down the gal.

Joshua knew he’d get in trouble for arguing with a senior officer. But couldn’t stand to see him treat an innocent girl like that. 

➜ To enjoy more powerful love stories, subscribe to the channel and join our heartfelt community  – https://www.youtube.com/@LoveBuster_?sub_confirmation=1

➜ Don’t forget to check out the community tab for all-about-love content, inspirational posts, and more – https://www.youtube.com/@LoveBuster_/community

➜ Feel free to take a look at our other projects to treat yourself to soul-stirring stories, fresh animations, and special edition episodes:

DramatizeMe – @DramatizeMe 
Animatters – @AmoMama 
DramatizeMe Special – @DramatizeMe.Special 

💗 And don’t forget – cherish everything that fills you with love!
 
For any business inquiries, please email us at business@amo.tech",2024-05-03 22:00:18,166204,5418.0,0,303,777,https://i.ytimg.com/vi/NoxxY2UX9Hg/default.jpg,Not Available
UUASGyre6VNuPsF5f9f9nm8g,zP_b4Xxd2vc,I Betrayed My BF To Help A Sick Man | @LoveBuster_,"Would you go against your loved one if it meant saving a life?

Katie and Max are a couple of thieves. One day, they saw a sharply dressed gentleman and decided to target him. Max sneakily chained the man’s bag to a pole and grabbed his phone to provoke him. As the guy went after him, Katie swopped in to take what she could from the bag. But while rummaging through it, she saw an inhaler. 

At that moment, Max showed up, after successfully running away from their victim. But Katie was insistent they go check on him, as he might need help. 

➜ To enjoy more powerful short films, subscribe to the channel and join the delightful Dramatizers – https://www.youtube.com/channel/UCLPcExUeE7MR7sTbQHd5l7A?sub_confirmation=1

➜ Don’t forget to check out the community tab for BTS content, Q&A sessions with the crew, channel updates, and more – https://www.youtube.com/@DramatizeMe/community

➜ Feel free to take a look at our other projects to treat yourself to stories about love, fresh animations, and special edition episodes:

Lovebuster – https://www.youtube.com/@LoveBuster_
Animatters – https://www.youtube.com/@AmoMama
DramatizeMe Special – https://www.youtube.com/@DramatizeMe.Special

⭐ And don’t forget – the biggest changes in life can start with a tiny spark!
 
For any business inquiries, please email us at business@amo.tech",2024-05-02 22:00:41,143725,3739.0,0,269,572,https://i.ytimg.com/vi/zP_b4Xxd2vc/default.jpg,Not Available
UUASGyre6VNuPsF5f9f9nm8g,AkfXvp4d86A,Millionaire With Amnesia Falls For Maid | @LoveBuster_,"Can jealousy make us do stupid things? 

While cleaning a hotel bathroom, Selena saw jewelry in the toilet bowl. She’s never owned anything luxurious in her life. So, she grabbed the necklace, cleaned it, and put it on. She admired how the red gems looked on her. Yet, her moment of awe was interrupted by a man pointing out the jewelry was his wife’s. Selena got spooked as the guy was wearing a suit, drinking a bottle, and lying in a full bathtub. 

What’s more, when the man heard his spouse’s footsteps approaching, he told Selena to get into the bath with him.

➜ To enjoy more powerful love stories, subscribe to the channel and join our heartfelt community  – https://www.youtube.com/@LoveBuster_?sub_confirmation=1

➜ Don’t forget to check out the community tab for all-about-love content, inspirational posts, and more – https://www.youtube.com/@LoveBuster_/community

➜ Feel free to take a look at our other projects to treat yourself to soul-stirring stories, fresh animations, and special edition episodes:

DramatizeMe – https://www.youtube.com/@UCLPcExUeE7MR7sTbQHd5l7A 
Animatters – https://www.youtube.com/@UCfniFiZbyO0e_fLALQtKijA 
DramatizeMe Special – https://www.youtube.com/@UCp3HX2PhW0FmEUX5ueS1HqA 

💗 And don’t forget – cherish everything that fills you with love!
 
For any business inquiries, please email us at business@amo.tech",2024-04-26 22:00:09,317660,6797.0,0,323,703,https://i.ytimg.com/vi/AkfXvp4d86A/default.jpg,Not Available
UUASGyre6VNuPsF5f9f9nm8g,0QiWQ9ycADg,I Fell In Love With My Office Rival | @LoveBuster_,"Do you need to find your love, or does it need to find you?

Dina didn’t feel like she belonged at her office’s get-together. But as she was about to leave, her boss called her on stage to give a toast. Yet, instead of a cheerful message, he began to poke fun at her weight. At some point, she couldn’t put up with him anymore. She rushed off the stage and accidentally tripped. And while everyone was bursting in laughter, her biggest professional rival stepped in to help.

Alex, the guy she liked but never dared to approach, was suddenly holding her hand. 

➜ To enjoy more powerful love stories, subscribe to the channel and join our heartfelt community  – https://www.youtube.com/@LoveBuster_?sub_confirmation=1

➜ Don’t forget to check out the community tab for all-about-love content, inspirational posts, and more – https://www.youtube.com/@LoveBuster_/community

➜ Feel free to take a look at our other projects to treat yourself to soul-stirring stories, fresh animations, and special edition episodes:

DramatizeMe – https://www.youtube.com/@DramatizeMe
Animatters – https://www.youtube.com/@AmoMama
DramatizeMe Special – https://www.youtube.com/@DramatizeMe.Special

💗 And don’t forget – cherish everything that fills you with love!
 
For any business inquiries, please email us at business@amo.tech",2024-04-23 22:00:00,197896,4691.0,0,269,754,https://i.ytimg.com/vi/0QiWQ9ycADg/default.jpg,Not Available
UUASGyre6VNuPsF5f9f9nm8g,N-RqavKcRD0,I Found My Love In A Car Crash | @LoveBuster_,"What would be your reaction if someone stole your parking spot – disapproval and acceptance or pure rage?

As Lexi was about to park her car, another auto sped by her and took her spot. When a seemingly smug guy exited the vehicle, Lexi didn’t hold out on “pleasant” words for him. Yet, the man was very nonchalant about it. He calmly said that he was richer and more important than her, so he could do whatever he wanted. 

And Lexi was determined to prove him wrong. So, she rammed his car.

➜ To enjoy more powerful love stories, subscribe to the channel and join our heartfelt community  – https://www.youtube.com/@LoveBuster_?sub_confirmation=1

➜ Don’t forget to check out the community tab for all-about-love content, inspirational posts, and more – https://www.youtube.com/@LoveBuster_/community

➜ Feel free to take a look at our other projects to treat yourself to soul-stirring stories, fresh animations, and special edition episodes:

DramatizeMe – https://www.youtube.com/@DramatizeMe
Animatters – https://www.youtube.com/@AmoMama
DramatizeMe Special – https://www.youtube.com/@DramatizeMe.Special

💗 And don’t forget – cherish everything that fills you with love!
 
For any business inquiries, please email us at business@amo.tech",2024-04-19 22:00:14,334560,6366.0,0,310,579,https://i.ytimg.com/vi/N-RqavKcRD0/default.jpg,Not Available
UUASGyre6VNuPsF5f9f9nm8g,v9FzAap6mmc,Deaf Girl Changed Man's Life | @LoveBuster_,"Would you feel weird about dating a deaf person?

While Ashley was walking down the street, a random guy in the car catcalled her. She approached him, and the man got nervous. He said he just wanted to give her a ride. Ashley smiled at him and got in. He turned to her and asked whether they should go straight to his place. But Ashley began to sign at him – she was deaf.

The man got very “disappointed” after finding this out. Still, he agreed to take her home. Yet, this brief meeting wouldn’t be the end of their story. 

➜ To enjoy more powerful short films, subscribe to the channel and join the delightful Dramatizers – https://www.youtube.com/channel/UCLPcExUeE7MR7sTbQHd5l7A?sub_confirmation=1

➜ Don’t forget to check out the community tab for BTS content, Q&A sessions with the crew, channel updates, and more – https://www.youtube.com/@DramatizeMe/community

➜ Feel free to take a look at our other projects to treat yourself to stories about love, fresh animations, and special edition episodes:

Lovebuster – https://www.youtube.com/@LoveBuster_
Animatters – https://www.youtube.com/@AmoMama
DramatizeMe Special – https://www.youtube.com/@DramatizeMe.Special

⭐ And don’t forget – the biggest changes in life can start with a tiny spark!
 
For any business inquiries, please email us at business@amo.tech",2024-04-18 22:00:37,478981,7085.0,0,300,601,https://i.ytimg.com/vi/v9FzAap6mmc/default.jpg,Not Available
UUASGyre6VNuPsF5f9f9nm8g,Ckj3SSoh8A0,I Fell In Love With A Homeless Mother | @LoveBuster_,"While Dakota was shopping, he saw a hand behind the chips on the shelf. He began to dig around the packets to see what was going on. After dumping a bunch of them on the floor, he saw a homeless girl napping. She instantly woke up and begged him not to tell on her.

To avoid attention, Dakota told the girl to get into his cart so that he could wheel her out while she was hiding underneath his purchases. 

➜ To enjoy more powerful love stories, subscribe to the channel and join our heartfelt community  – https://www.youtube.com/@LoveBuster_?sub_confirmation=1

➜ Don’t forget to check out the community tab for all-about-love content, inspirational posts, and more – https://www.youtube.com/@LoveBuster_/community

➜ Feel free to take a look at our other projects to treat yourself to soul-stirring stories, fresh animations, and special edition episodes:

DramatizeMe – https://www.youtube.com/@DramatizeMe
Animatters – https://www.youtube.com/@AmoMama
DramatizeMe Special – https://www.youtube.com/@DramatizeMe.Special

💗 And don’t forget – cherish everything that fills you with love!
 
For any business inquiries, please email us at business@amo.tech",2024-04-12 22:00:06,280302,5384.0,0,261,671,https://i.ytimg.com/vi/Ckj3SSoh8A0/default.jpg,Not Available
UUASGyre6VNuPsF5f9f9nm8g,0M7kyJ8J_G4,I Fell In Love For The First Time At 45  | @LoveBuster_,"Do you worry about getting older?

On one stormy night, Judy was struck by lightning. When she woke up in a hospital, she realized that she turned from a rebellious teen into a 45-year-old lady. Turns out that fateful lightning strike put Judy into a 2-decade-long coma. Now that she was suddenly “old”, Judy realized that she’s never been with a man. 

So, she set out to find a guy who’d want to be the first for a 50-year-old. 

➜ To enjoy more powerful love stories, subscribe to the channel and join our heartfelt community  – https://www.youtube.com/@LoveBuster_?sub_confirmation=1

➜ Don’t forget to check out the community tab for all-about-love content, inspirational posts, and more – https://www.youtube.com/@LoveBuster_/community

➜ Feel free to take a look at our other projects to treat yourself to soul-stirring stories, fresh animations, and special edition episodes:

DramatizeMe – https://www.youtube.com/@DramatizeMe
Animatters – https://www.youtube.com/@AmoMama
DramatizeMe Special – https://www.youtube.com/@DramatizeMe.Special

💗 And don’t forget – cherish everything that fills you with love!
 
For any business inquiries, please email us at business@amo.tech",2024-04-09 22:00:00,171417,3837.0,0,250,691,https://i.ytimg.com/vi/0M7kyJ8J_G4/default.jpg,Not Available
UUASGyre6VNuPsF5f9f9nm8g,Ll7DUzZAPCg,My Mom Made Me Marry A Vagrant  | @LoveBuster_,"What’s the craziest thing someone has ever said to you?

It was another day of begging on the streets for Taylor. Yet, his routine was interrupted by a strange woman who offered him a bag of cash for a favor. She asked him to marry her daughter. Of course, Taylor agreed. But he wasn’t stupid. So he asked the lady what was the catch – why would a rich family pick a homeless groom?

The woman’s answer baffled him. Taylor’s future bride was… dead. 

➜ To enjoy more powerful love stories, subscribe to the channel and join our heartfelt community  – https://www.youtube.com/@LoveBuster_?sub_confirmation=1

➜ Don’t forget to check out the community tab for all-about-love content, inspirational posts, and more – https://www.youtube.com/@LoveBuster_/community

➜ Feel free to take a look at our other projects to treat yourself to soul-stirring stories, fresh animations, and special edition episodes:

DramatizeMe – https://www.youtube.com/@DramatizeMe
Animatters – https://www.youtube.com/@AmoMama
DramatizeMe Special – https://www.youtube.com/@DramatizeMe.Special

💗 And don’t forget – cherish everything that fills you with love!
 
For any business inquiries, please email us at business@amo.tech",2024-04-05 22:00:20,418155,6829.0,0,348,591,https://i.ytimg.com/vi/Ll7DUzZAPCg/default.jpg,Not Available
UUASGyre6VNuPsF5f9f9nm8g,322KZrCdpw8,Rich Man Gave Sick Girl Fairytale | @LoveBuster_,"Would you give up all your money to save someone you love?

Henry is a stuck up rich guy. While having dinner at one of his restaurants, he mistook a girl’s dress for a napkin. Yet, instead of apologizing, he continued to wipe his mouth on it. And when the girl put up a fight, he kicked her out. Yet, when she was about to leave, she collapsed. Henry had to bring her to the hospital. There, he found out that she had cancer.  

Something changed within him. Now, he felt like he needed to take care of her.

➜ To enjoy more powerful love stories, subscribe to the channel and join our heartfelt community  – https://www.youtube.com/@LoveBuster_?sub_confirmation=1

➜ Don’t forget to check out the community tab for all-about-love content, inspirational posts, and more – https://www.youtube.com/@LoveBuster_/community

➜ Feel free to take a look at our other projects to treat yourself to soul-stirring stories, fresh animations, and special edition episodes:

DramatizeMe – https://www.youtube.com/@DramatizeMe
Animatters – https://www.youtube.com/@AmoMama
DramatizeMe Special – https://www.youtube.com/@DramatizeMe.Special

💗 And don’t forget – cherish everything that fills you with love!
 
For any business inquiries, please email us at business@amo.tech",2024-04-02 22:00:07,1626237,26971.0,0,2130,802,https://i.ytimg.com/vi/322KZrCdpw8/default.jpg,Not Available
